ID,Prob1
0, 0.92
1, 0.76
2, 0.18
3, 0.00
4, 0.10
5, 0.24
6, 0.24
7, 0.90
8, 0.02
9, 0.00
10, 0.54
11, 0.11
12, 0.66
13, 0.87
14, 0.20
15, 0.51
16, 0.44
17, 0.95
18, 0.00
19, 0.12
20, 0.59
21, 0.59
22, 0.02
23, 0.15
24, 0.17
25, 0.99
26, 0.70
27, 0.53
28, 0.01
29, 0.49
30, 0.57
31, 0.65
32, 0.72
33, 0.46
34, 0.32
35, 0.29
36, 0.54
37, 0.14
38, 0.50
39, 0.69
40, 0.00
41, 0.73
42, 0.29
43, 0.31
44, 0.76
45, 0.20
46, 0.60
47, 0.41
48, 0.78
49, 0.63
50, 0.48
51, 0.03
52, 0.92
53, 0.06
54, 0.22
55, 0.38
56, 0.16
57, 0.59
58, 0.06
59, 0.00
60, 0.19
61, 0.42
62, 0.33
63, 0.64
64, 0.02
65, 0.19
66, 0.59
67, 0.48
68, 0.31
69, 0.96
70, 0.00
71, 0.60
72, 0.00
73, 0.61
74, 0.86
75, 0.50
76, 0.57
77, 0.29
78, 0.06
79, 0.04
80, 0.24
81, 0.81
82, 0.93
83, 0.49
84, 0.54
85, 0.49
86, 0.93
87, 0.73
88, 0.38
89, 0.29
90, 0.01
91, 0.39
92, 0.88
93, 0.84
94, 0.58
95, 0.22
96, 0.02
97, 0.16
98, 0.83
99, 0.01
100, 0.68
101, 0.86
102, 0.17
103, 0.92
104, 0.00
105, 0.02
106, 0.74
107, 0.93
108, 0.75
109, 0.46
110, 0.01
111, 0.66
112, 0.99
113, 0.65
114, 0.82
115, 0.43
116, 0.00
117, 0.66
118, 0.02
119, 0.02
120, 0.69
121, 0.91
122, 0.08
123, 0.55
124, 0.00
125, 0.66
126, 0.06
127, 0.72
128, 0.86
129, 0.79
130, 0.01
131, 0.48
132, 0.83
133, 0.76
134, 0.76
135, 0.96
136, 0.01
137, 0.99
138, 0.00
139, 0.85
140, 0.80
141, 0.34
142, 0.90
143, 0.11
144, 0.18
145, 0.10
146, 0.72
147, 0.54
148, 0.33
149, 0.18
150, 0.63
151, 0.79
152, 0.45
153, 0.68
154, 0.43
155, 0.05
156, 0.54
157, 0.01
158, 0.77
159, 0.81
160, 0.02
161, 0.66
162, 0.20
163, 0.59
164, 0.97
165, 0.16
166, 0.30
167, 0.98
168, 0.13
169, 0.00
170, 0.43
171, 0.45
172, 0.00
173, 0.20
174, 0.59
175, 0.02
176, 0.02
177, 0.52
178, 0.49
179, 0.81
180, 0.46
181, 0.06
182, 0.01
183, 0.58
184, 0.70
185, 0.11
186, 0.82
187, 0.01
188, 0.59
189, 0.60
190, 0.00
191, 0.19
192, 0.66
193, 0.60
194, 0.64
195, 0.90
196, 0.67
197, 0.01
198, 0.83
199, 0.94
200, 0.00
201, 0.70
202, 0.55
203, 0.14
204, 0.67
205, 0.05
206, 0.26
207, 0.01
208, 0.55
209, 0.16
210, 0.86
211, 0.44
212, 0.93
213, 0.09
214, 0.89
215, 0.03
216, 0.97
217, 0.65
218, 0.81
219, 0.79
220, 0.89
221, 0.38
222, 0.96
223, 0.49
224, 0.93
225, 0.55
226, 0.99
227, 0.93
228, 0.19
229, 0.00
230, 0.82
231, 0.87
232, 0.01
233, 0.06
234, 0.29
235, 0.24
236, 0.15
237, 0.02
238, 0.55
239, 0.43
240, 0.15
241, 0.07
242, 0.56
243, 0.82
244, 0.06
245, 0.80
246, 0.48
247, 0.86
248, 0.63
249, 0.61
250, 0.48
251, 0.99
252, 0.09
253, 0.00
254, 0.78
255, 0.55
256, 1.00
257, 0.00
258, 0.77
259, 0.99
260, 0.31
261, 0.05
262, 0.10
263, 0.02
264, 0.01
265, 0.00
266, 0.06
267, 0.93
268, 0.79
269, 0.02
270, 0.30
271, 0.48
272, 0.30
273, 0.50
274, 0.11
275, 0.79
276, 0.36
277, 0.63
278, 0.63
279, 0.90
280, 0.82
